"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"gene:Solyc00g500132.1",7.67877871866775,1.15630772919706,0.662359682047119,1.74573990618409,0.0808561574002371,0.227153888379605,"gene:Solyc00g500132.1"
"gene:Solyc00g500129.1",46.7195996571466,0.40857963636711,0.393892131316332,1.03728814028779,0.299601591251643,0.534696403793419,"gene:Solyc00g500129.1"
"gene:Solyc00g500130.1",118.079435794519,-1.69843309328033,0.85907656073189,-1.97704508645115,0.0480365340657474,0.156325899736445,"gene:Solyc00g500130.1"
"gene:Solyc00g500134.1",13.9286851441121,-1.88985993219667,1.41090278290266,-1.33946856941386,0.180418179909386,0.393358114557894,"gene:Solyc00g500134.1"
"gene:Solyc00g500133.1",37.5110684626167,1.53548156952241,0.454933501696775,3.37517805084806,0.000737679477310839,0.00541554317733325,"gene:Solyc00g500133.1"
"gene:Solyc00g500135.1",7.13346812942431,-0.893228837570694,1.01119588694116,-0.883339073176698,0.377053098637292,0.608882512506403,"gene:Solyc00g500135.1"
"gene:Solyc00g160170.1",3.73654663308647,-2.78344143389834,2.97638263944386,-0.935175940422238,0.349697635521327,0.584623526113751,"gene:Solyc00g160170.1"
"gene:Solyc00g500144.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500144.1"
"gene:Solyc00g500145.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500145.1"
"gene:Solyc00g500139.1",37.7311137862811,-2.3227909750295,1.10913379307864,-2.09423875597739,0.036238716947937,0.127082352752063,"gene:Solyc00g500139.1"
"gene:Solyc00g500136.1",188.246663695487,-2.24705515515967,1.05643772956023,-2.12701145773642,NA,NA,"gene:Solyc00g500136.1"
"gene:Solyc00g500150.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500150.1"
"gene:Solyc00g500137.1",3.59887847287302,-0.346644080841171,1.51598347090281,-0.228659538507195,0.819133545203608,0.917497299212412,"gene:Solyc00g500137.1"
"gene:Solyc00g500138.1",46.6372194836923,-1.72470662628102,0.914704231979418,-1.88553476192928,0.0593576758026775,0.182956590710092,"gene:Solyc00g500138.1"
"gene:Solyc00g500151.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500151.1"
"gene:Solyc00g500153.1",0,NA,NA,NA,NA,NA,"gene:Solyc00g500153.1"
"gene:Solyc00g500152.1",1.47416744892617,4.10813385021052,1.2556983211094,3.2715930101595,0.00106943404959175,0.00749541237879476,"gene:Solyc00g500152.1"
"gene:Solyc00g013100.1",4.63480554450794,-4.90922328587138,3.88647787847649,-1.26315482536486,0.206533544066561,0.427757610697474,"gene:Solyc00g013100.1"
"gene:Solyc00g013110.1",9.7942124752753,-3.72089919377886,3.33722622613841,-1.11496762330206,0.26486429623361,0.498128507381055,"gene:Solyc00g013110.1"
"gene:Solyc00g126010.1",11.71636841107,-3.18805703471185,1.95090644695231,-1.63414142164131,0.102229159093826,0.268815362159673,"gene:Solyc00g126010.1"
"gene:Solyc00g160180.1",25.6516299653138,-4.37903399151608,2.62491984079136,-1.6682543685585,0.0952652421629378,0.255529660194724,"gene:Solyc00g160180.1"
"gene:Solyc00g500169.1",135.300080563178,-3.953138761833,2.05438325251562,-1.9242460027808,0.0543237553612607,0.171155196416201,"gene:Solyc00g500169.1"
"gene:Solyc00g126000.1",12.2796408163008,-4.11091039247701,2.59528123476404,-1.58399418814846,0.113195041677595,0.288283383167327,"gene:Solyc00g126000.1"
"gene:Solyc00g125990.1",55.3735137102385,-4.05080937440376,1.97738783466757,-2.04856594310178,0.0405045777272341,0.138138022165734,"gene:Solyc00g125990.1"
"gene:Solyc00g125980.1",36.0603683631493,-3.65008521068196,1.26763137681386,-2.87945318918841,0.00398365431554073,0.0221949075461982,"gene:Solyc00g125980.1"
